iter	RMSE
0	0.3886444908
1	0.3774528793
2	0.3676753738
3	0.3570894857
4	0.3482761342
5	0.3390439909
6	0.3303924988
7	0.321247775
8	0.3131973506
9	0.3057060772
10	0.2983577948
11	0.2912773397
12	0.284523866
13	0.2781576909
14	0.2715261545
15	0.2655906339
16	0.259697469
17	0.2542062515
18	0.2491379455
19	0.2439113549
20	0.2391086486
21	0.2345435111
22	0.2299530462
23	0.2255157403
24	0.2211847932
25	0.2169994499
26	0.2130568497
27	0.2095797694
28	0.2059350267
29	0.2027325287
30	0.1995241368
31	0.1963344361
32	0.1928117416
33	0.1899951689
34	0.187431444
35	0.1848045584
36	0.1821698719
37	0.1796433527
38	0.1774687101
39	0.1752959683
40	0.1732046635
41	0.1712154894
42	0.1691355703
43	0.1672655764
44	0.1654260276
45	0.1634689852
46	0.1615588678
47	0.1598775398
48	0.158329359
49	0.1565357282
50	0.1549079151
51	0.1534367899
52	0.1519404636
53	0.1505196178
54	0.149117306
55	0.1476761413
56	0.1463534969
57	0.1451132803
58	0.1438544827
59	0.142622066
60	0.1414344485
61	0.1403235725
62	0.1390830127
63	0.1380913119
64	0.1371256799
65	0.1361011583
66	0.1350950414
67	0.1343088782
68	0.133217677
69	0.1323610403
70	0.1315015282
71	0.1306366321
72	0.1296914729
73	0.1289430423
74	0.1282583841
75	0.1276039052
76	0.1270226873
77	0.1265803846
78	0.1260855503
79	0.1253893497
80	0.1247087499
81	0.1242249451
82	0.123567896
83	0.1230111977
84	0.1224396337
85	0.121913868
86	0.1213173018
87	0.120731656
88	0.120308434
89	0.1196588449
90	0.1191770699
91	0.1186695942
92	0.1180993859
93	0.1175446012
94	0.1171350123
95	0.116652049
96	0.116177189
97	0.1157414718
98	0.1152850202
99	0.11487119
100	0.1143725435
101	0.1140022897
102	0.1135520288
103	0.1130692643
104	0.1126373923
105	0.112220494
106	0.1117717299
107	0.1115140985
108	0.1111323138
109	0.1109147769
110	0.1105499673
111	0.1102775514
112	0.1100735056
113	0.1096933467
114	0.1093604693
115	0.1090573932
116	0.1087023748
117	0.1083835074
118	0.1081087189
119	0.1078797634
120	0.1076630634
121	0.107371444
122	0.1070667102
123	0.1066737413
124	0.1063386316
125	0.1060925965
126	0.1058350062
127	0.1055992225
128	0.1052856493
129	0.1050486076
130	0.1047744686
131	0.1045477409
132	0.1042983188
133	0.1040799788
134	0.1038523627
135	0.1034657895
136	0.1032113083
137	0.1029856374
138	0.1028108328
139	0.1026192417
140	0.10238598
141	0.102139067
142	0.1019081673
143	0.1017006751
144	0.1015171025
145	0.1013687629
146	0.1011290636
147	0.1009245115
148	0.1006145411
149	0.1004411669
150	0.1002604917
151	0.1000855187
152	0.0998473176
153	0.09970743176
154	0.09951644326
155	0.09935894461
156	0.09915340543
157	0.0988579095
158	0.09871276689
159	0.09851179124
160	0.09837520344
161	0.09823467812
162	0.09800101748
163	0.09787612315
164	0.09772270592
165	0.09756299851
166	0.09741748202
167	0.09723750501
168	0.09703832786
169	0.09681487559
170	0.09662080804
171	0.09640243462
172	0.09623255855
173	0.09605879134
174	0.09587646295
175	0.09567813339
